muni_no,roll_no_txt,municipality,address,units,acres,du_per_acre,built,building_value,type,note
500,424739.000,500 - CITY OF BRANDON,1640 SYCAMORE DR,208,5.42,38.4,2022,27161900,,
500,514794.000,500 - CITY OF BRANDON,2 QUAIL RIDGE DR,132,4.66,28.3,2026,22361100,,
500,561944.000,500 - CITY OF BRANDON,2200 PACIFIC AVE,128,3.6,35.6,2017,18605400,,
500,560664.000,500 - CITY OF BRANDON,2005 TRACEY ST,116,6.27,18.5,2019,18162100,,
500,391789.000,500 - CITY OF BRANDON,501 BRAECREST DR,108,4.02,26.9,2021,15804100,,
500,562264.000,500 - CITY OF BRANDON,1501 BRAECREST DR,72,3.81,18.9,2025,10105200,,
500,564807.000,500 - CITY OF BRANDON,5 OUTBACK DR,72,3.25,22.2,2021,9589200,,
500,203299.000,500 - CITY OF BRANDON,2105 BRANDON AVE,63,1.76,35.8,2019,6405300,,
500,30817.000,500 - CITY OF BRANDON,638 PACIFIC AVE,59,0.88,67,2021,5919700,,
500,346858.000,500 - CITY OF BRANDON,1324 1ST ST N,48,1.28,37.5,2016,8054300,,
500,568568.000,500 - CITY OF BRANDON,415 25TH ST,48,2.09,23,2026,5611500,,
500,946327.000,500 - CITY OF BRANDON,Unit A - 2211 PORTOLA DR,36,0.39,92.3,2027,5746700,,
500,946335.000,500 - CITY OF BRANDON,Unit B - 2211 PORTOLA DR,36,0.53,67.9,2027,5893400,,
500,391615.000,500 - CITY OF BRANDON,1315 LARK ST,32,1.06,30.2,2024,5661100,,
500,17533.000,500 - CITY OF BRANDON,705 LORNE AVE,30,0.41,73.2,2023,4178300,,
500,21733.000,500 - CITY OF BRANDON,155 18TH ST,29,0.81,35.8,2024,5383600,,
500,514166.000,500 - CITY OF BRANDON,1321 13TH ST,27,0.77,35.1,2027,2783700,,
500,17194.000,500 - CITY OF BRANDON,512 PRINCESS AVE,24,0.48,50,2018,2554600,,
500,217349.000,500 - CITY OF BRANDON,353 16TH ST N,24,0.96,25,2027,4573500,,
500,235598.000,500 - CITY OF BRANDON,4110 VICTORIA AVE,24,0.93,25.8,2027,7273600,,
500,391631.000,500 - CITY OF BRANDON,735 BRAECREST DR,24,0.67,35.8,2021,4469400,,
500,398545.000,500 - CITY OF BRANDON,531 QUEENS AVE E,21,1.14,18.4,2017,3084800,,
500,474056.000,500 - CITY OF BRANDON,1 VALCOURT WAY,18,1.23,14.6,2021,4629400,,
500,82131.000,500 - CITY OF BRANDON,725 VAN HORNE AVE,18,0.95,18.9,2024,3102400,,
500,27896.000,500 - CITY OF BRANDON,309 PRINCESS AVE,16,0.25,64,2025,2816300,,
500,32672.000,500 - CITY OF BRANDON,19 13TH ST,15,0.22,68.2,2023,920900,,
500,20701.000,500 - CITY OF BRANDON,1528 PRINCESS AVE,14,0.22,63.6,2026,2826700,,
500,138552.000,500 - CITY OF BRANDON,617 17TH ST,12,0.27,44.4,2027,900900,,
500,235671.000,500 - CITY OF BRANDON,Unit D - 4151 MCTAVISH AVE,12,0.19,63.2,2020,1920700,,
500,235689.000,500 - CITY OF BRANDON,Unit C - 4151 MCTAVISH AVE,12,0.2,60,2019,1735200,,
500,235697.000,500 - CITY OF BRANDON,Unit B - 4151 MCTAVISH AVE,12,0.22,54.5,2018,1722200,,
500,235705.000,500 - CITY OF BRANDON,Unit E - 4151 MCTAVISH AVE,12,0.21,57.1,2020,1901600,,
500,235713.000,500 - CITY OF BRANDON,Unit F - 4151 MCTAVISH AVE,12,0.24,50,2020,1868600,,
500,235721.000,500 - CITY OF BRANDON,Unit A - 4151 MCTAVISH AVE,12,0.22,54.5,2019,1720300,,
500,23689.000,500 - CITY OF BRANDON,148 13TH ST,12,0.23,52.2,2016,1615600,,
500,84673.000,500 - CITY OF BRANDON,338 VICTORIA AVE,12,0.38,31.6,2016,1759800,,
500,85159.000,500 - CITY OF BRANDON,204 VICTORIA AVE,12,0.37,32.4,2021,1935500,,
500,92163.000,500 - CITY OF BRANDON,710 FRANKLIN ST,12,0.35,34.3,2022,1944600,,
500,20529.000,500 - CITY OF BRANDON,264 15TH ST,10,0.23,43.5,2023,438400,,
500,32045.000,500 - CITY OF BRANDON,943 ROSSER AVE,9,0.08,112.5,2019,426100,,
500,81299.000,500 - CITY OF BRANDON,759A - 759B 6TH ST,9,0.27,33.3,2027,1636900,,
500,125773.000,500 - CITY OF BRANDON,2605 ROSSER AVE,8,0.28,28.6,2021,1261400,,
500,181909.000,500 - CITY OF BRANDON,927 26TH ST,8,0.29,27.6,2020,1956200,,
500,27714.000,500 - CITY OF BRANDON,139 5TH ST,8,0.1,80,2016,542600,,
500,31625.000,500 - CITY OF BRANDON,829 ROSSER AVE,8,0.1,80,2018,1043800,,
500,33225.000,500 - CITY OF BRANDON,1609 ROSSER AVE,8,0.17,47.1,2024,1440200,,
500,75887.000,500 - CITY OF BRANDON,820 1ST ST,8,0.22,36.4,2026,1660100,,
500,82651.000,500 - CITY OF BRANDON,512 7TH ST,8,0.18,44.4,2027,1391500,,
500,85654.000,500 - CITY OF BRANDON,553 2ND ST,8,0.32,25,2018,990000,,
500,1198.000,500 - CITY OF BRANDON,338 LOUISE AVE,6,0.17,35.3,2023,956200,,
500,124123.000,500 - CITY OF BRANDON,436 21ST ST,6,0.17,35.3,2025,1197700,,
500,149971.000,500 - CITY OF BRANDON,711 11TH ST,6,0.21,28.6,2016,758000,,
500,150631.000,500 - CITY OF BRANDON,655 11TH ST,6,0.2,30,2020,884100,,
500,16287.000,500 - CITY OF BRANDON,241 4TH ST,6,0.14,42.9,2027,253100,,
